no_mou,nama_yayasan,kepala_yayasan,nama_sekolah,nama_kepsek,provinsi_id,jenjang,awal_kerjasama,akhir_kerjasama,jenis_kerjasama,jenis_produk,pembayaran,harga_buku,jumlah_komputer,jumlah_siswa_tk,jumlah_siswa_kelas_1,jumlah_siswa_kelas_2,jumlah_siswa_kelas_3,jumlah_siswa_kelas_4,jumlah_siswa_kelas_5,jumlah_siswa_kelas_6,jumlah_siswa_kelas_7,jumlah_siswa_kelas_8,jumlah_siswa_kelas_9,jumlah_siswa_kelas_10,jumlah_siswa_kelas_11,jumlah_siswa_kelas_12,jumlah_siswa_kelas_10_smk,jumlah_siswa_kelas_11_smk,jumlah_siswa_kelas_12_smk
,,,Xaverius Kuala Tungkal,,,SD,,,,,,,,,25,15,25,30,15,18,,,,,,,,,
,,,Xaverius 2 Jambi,,,SD,,,,,,,,,120,110,115,88,116,137,,,,,,,,,
,,,Candle Tree,,,SD,,,,,,,,,100,100,100,100,100,100,,,,,,,,,
,,,Tarakanita Magelang,,,SMP,,,,,,,,,,,,,,,120,111,98,,,,,,
,,,Tarakanita Pendowo Ngablak,,,SMP,,,,,,,,,,,,,,,25,18,21,,,,,,
,,,Tarakanita Solo Baru,,,SMP,,,,,,,,,,,,,,,60,43,54,,,,,,
,,,Bellarminus Bekasi,,,SMP,,,,,,,,,,,,,,,65,63,62,,,,,,
,,,Tarakanita Magelang,,,SMA,,,,,,,,,,,,,,,,,,100,97,82,,,
,,,Bellarminus Bekasi,,,SMA,,,,,,,,,,,,,,,,,,40,40,40,,,
,,,Pius Magelang,,,SMK,,,,,,,,,,,,,,,,,,,,,80,72,83
,,,Candle Tree,,,SMA,,,,,,,,,,,,,,,,,,75,72,77,,,
,,,Abdi Siswa Taman Aries,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Abdi Siswa Taman Aries,,,SD,,,,,,,,,40,36,49,47,80,75,,,,,,,,,
,,,Abdi Siswa Taman Aries,,,SMP,,,,,,,,,,,,,,,35,32,25,,,,,,
,,,Abdi Siswa Bintaro,,,SMP,,,,,,,,,,,,,,,100,98,86,,,,,,
,,,Abdi Siswa Bintaro,,,SMA,,,,,,,,,,,,,,,,,,100,96,82,,,
,,,Abdi Siswa Patra,,,SMP,,,,,,,,,,,,,,,50,48,35,,,,,,
,,,Abdi Siswa Patra,,,SMA,,,,,,,,,,,,,,,,,,50,46,44,,,
,,,Mahatma Gading,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Mahatma Gading,,,SD,,,,,,,,,40,34,20,34,27,40,,,,,,,,,
,,,Mahatma Gading,,,SMP,,,,,,,,,,,,,,,40,20,37,,,,,,
,,,Mahatma Gading,,,SMA,,,,,,,,,,,,,,,,,,40,38,30,,,
,,,Mahatma Gading Internasional,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Mahatma Gading Internasional,,,SD,,,,,,,,,35,25,25,30,35,35,,,,,,,,,
,,,BHK Cibubur,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,BHK Cibubur,,,SD,,,,,,,,,165,150,140,135,150,165,,,,,,,,,
,,,BHK Grogol,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,BHK Grogol,,,SD,,,,,,,,,80,70,86,110,105,125,,,,,,,,,
,,,Immanuel Jelambar,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Immanuel Jelambar,,,SD,,,,,,,,,40,30,48,43,37,47,,,,,,,,,
,,,Immanuel Jelambar,,,SMP,,,,,,,,,,,,,,,45,44,34,,,,,,
,,,Immanuel Jelambar,,,SMA,,,,,,,,,,,,,,,,,,30,30,28,,,
,,,Barunawati,,,SMA,,,,,,,,,,,,,,,,,,170,168,178,,,
,,,Permai Nasional,,,TK,,,,,,,,102,,,,,,,,,,,,,,,
,,,Permai Nasional,,,SD,,,,,,,,,110,92,117,118,124,100,,,,,,,,,
,,,Permai Nasional,,,SMP,,,,,,,,,,,,,,,135,135,114,,,,,,
,,,Permai Nasional,,,SMA,,,,,,,,,,,,,,,,,,110,104,119,,,
,,,Charitas Jakarta,,,TK,,,,,,,,98,,,,,,,,,,,,,,,
,,,Charitas Jakarta,,,SD,,,,,,,,,90,105,85,95,85,85,,,,,,,,,
,,,Charitas Jakarta,,,SMP,,,,,,,,,,,,,,,70,60,65,,,,,,
,,,Charitas Jakarta,,,SMA,,,,,,,,,,,,,,,,,,120,120,117,,,
,,,Tunas Harapan Bogor,,,TK,,,,,,,,75,,,,,,,,,,,,,,,
,,,Tunas Harapan Bogor,,,SD,,,,,,,,,55,48,52,48,38,52,,,,,,,,,
,,,Tunas Harapan Bogor,,,SMP,,,,,,,,,,,,,,,60,59,50,,,,,,
,,,Tunas Harapan Bogor,,,SMA,,,,,,,,,,,,,,,,,,50,48,28,,,
,,,Cahaya Sakti,,,TK,,,,,,,,26,,,,,,,,,,,,,,,
,,,Cahaya Sakti,,,SD,,,,,,,,,35,26,36,21,28,37,,,,,,,,,
,,,Singa School,,,TK,,,,,,,,17,,,,,,,,,,,,,,,
,,,Singa School,,,SD,,,,,,,,,25,17,27,23,15,20,,,,,,,,,
,,,HFO Sawangan,,,SD,,,,,,,,,56,56,57,58,55,51,,,,,,,,,
,,,HFO Depok,,,SD,,,,,,,,,63,73,54,61,79,74,,,,,,,,,
,,,Bhakti Tugas,,,SD,,,,,,,,,20,22,25,30,32,29,,,,,,,,,
,,,Kartika Pesanggrahan,,,SD,,,,,,,,,45,39,52,42,44,39,,,,,,,,,
,,,Anugerah Abadi,,,SD,,,,,,,,,30,20,19,30,25,20,,,,,,,,,
,,,Anugerah Abadi,,,SMP,,,,,,,,,,,,,,,30,30,18,,,,,,
,,,Tansyitul Mutaalimin,,,SD,,,,,,,,,,,,60,50,80,,,,,,,,,
,,,Tansyitul Mutaalimin,,,SMP,,,,,,,,,,,,,,,20,15,25,,,,,,
,,,Tansyitul Mutaalimin,,,SMA,,,,,,,,,,,,,,,,,,10,10,15,,,
,,,Nurul Huda,,,SD,,,,,,,,,73,71,70,57,76,64,,,,,,,,,
,,,Qurrotul Hikmah,,,SD,,,,,,,,,32,43,47,35,40,22,,,,,,,,,
,,,Infokom,,,SMP,,,,,,,,,,,,,,,100,76,61,,,,,,
,Anakku,,Al Izhar,,,TK,,,,,,,,78,,,,,,,,,,,,,,,
,Anakku,,Al Izhar,,,SD,,,,,,,,,80,78,78,78,78,63,,,,,,,,,
,Anakku,,Al Izhar,,,SMP,,,,,,,,,,,,,,,140,136,129,,,,,,
,Anakku,,Al Izhar,,,SMA,,,,,,,,,,,,,,,,,,200,195,187,,,
,Mardi Yuana,,MY Depok,,,SD,,,,,,,,,150,136,144,128,136,140,,,,,,,,,
,Mardi Yuana,,MY Depok,,,SMP,,,,,,,,,,,,,,,195,192,184,,,,,,
,Mardi Yuana,,MY Depok,,,SMA,,,,,,,,,,,,,,,,,,225,222,211,,,
,Mardi Yuana,,MY Cianjur,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Cianjur,,,SD,,,,,,,,,30,30,22,22,22,24,,,,,,,,,
,Mardi Yuana,,MY Cicurug,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Cibadak,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Cilegon,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Serang,,,TK,,,,,,,,116,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Serang,,,SD,,,,,,,,,100,100,100,100,105,105,,,,,,,,,
,Bukan cust ?,,MY Rangkas,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Mardi Yuana,,MY Rangkas,,,SD,,,,,,,,,30,29,25,21,30,25,,,,,,,,,
,Mardi Yuana,,MY Rangkas,,,SMP,,,,,,,,,,,,,,,25,14,24,,,,,,
,Mardi Yuana,,MY Cipanas,,,SMP,,,,,,,,,,,,,,,56,61,59,,,,,,
,Mardi Yuana,,MY Bogor,,,SMP,,,,,,,,,,,,,,,86,68,83,,,,,,
,Mardi Yuana,,MY Bogor,,,SMA,,,,,,,,,,,,,,,,,,100,82,102,,,
,Karya Sang Timur,,Sang Timur Ciledug,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Karya Sang Timur,,Sang Timur Ciledug,,,SD,,,,,,,,,97,93,101,100,104,118,,,,,,,,,
,Karya Sang Timur,,Sang Timur Ciledug,,,SMP,,,,,,,,,,,,,,,110,106,101,,,,,,
,Karya Sang Timur,,Sang Timur Cakung,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,Karya Sang Timur,,Sang Timur Cakung,,,SD,,,,,,,,,60,57,57,59,75,79,,,,,,,,,
,Karya Sang Timur,,Sang Timur Tomang,,,SD,,,,,,,,,120,115,112,110,112,121,,,,,,,,,
,,,Kalam Kudus Ambon,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Xaverius Ambon,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Margie,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Luveta,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Sang Timur Pasuruan,,,TK,,,,,,,,,,,,,,,,,,,,,,,
,,,Kartini,,,SD,,,,,,,,,-,25,25,25,20,20,,,,,,,,,
,,,St. Yosef,,,SD,,,,,,,,,-,40,40,40,32,41,,,,,,,,,
,,,St. Carolus,,,SD,,,,,,,,,-,70,70,70,60,66,,,,,,,,,
,,,Sang Timur Batu,,,SD,,,,,,,,,65,60,60,63,60,65,,,,,,,,,
,,,Margie,,,SD,,,,,,,,,45,30,40,40,45,40,,,,,,,,,
,,,HFS,,,SD,,,,,,,,,20,20,20,20,20,20,,,,,,,,,
